チャット名,分類,優先度,状態,理由
"現場監督育成プロジェクト",AIT,B,DOING,"『育成』＝AITキーワード(職人育成/教育)。JIMU/REVOの実務語なし。状態はプロジェクト区分によりDOING"
"コード一覧",JIMU,B,DOING,"『コード』＝開発語→JIMU。参考資料的で今年内B。プロジェクト区分でDOING"
"AI棟梁 立案からリリースまでの記録",AIT,B,DOING,"『AI棟梁』明示→AIT。プロジェクト区分でDOING"
"REVOロードマップ",REVO,A,DOING,"『REVO』『ロードマップ』＝経営計画→REVO。中核でA。プロジェクト区分でDOING"
"起業家とは",KNOW,C,DOING,"一般定義の問い＝特定事業に直結しない汎用知識→KNOW(強さ順で実務語なし)。プロジェクト区分でDOING。※REVO寄りか要確認"
"営業に使える心理学",REVO,B,DOING,"『営業』＝REVOキーワード→REVO。プロジェクト区分でDOING"
"REVO日報整理",REVO,A,TODO,"『REVO』明示＋日報整理(経営運用)→REVO。運用に直結でA。通常区分でTODO"
"ChatGPTアプリ設置方法",KNOW,C,TODO,"『設置方法』＝汎用ツール知識→KNOW。通常区分でTODO"
"資金調達方法の違い",REVO,B,TODO,"『資金調達』＝REVOキーワード→REVO。通常区分でTODO"
"Amazon副収入の真実",KNOW,X,TODO,"副業の一般調査＝事業に直結しない汎用→KNOW。再利用性低く破棄候補X。通常区分でTODO"
"Adobe Stock コントリビュータ",KNOW,C,TODO,"ストック素材の汎用/副業知識→KNOW。通常区分でTODO"
"成好明文情報収集",KNOW,C,TODO,"題名の主題が判別困難(固有名詞と推測される語)。推測を避け既定でKNOW/C。※要手動確認。通常区分でTODO"
"AI経営チーム評価",REVO,B,TODO,"『経営』＝REVO語。強さ順REVO>AIT→REVO。通常区分でTODO"
"ファイルアプリ確認方法",KNOW,C,TODO,"アプリの汎用操作知識→KNOW。通常区分でTODO"
"Google Drive ZIP解析",KNOW,C,TODO,"汎用ツールの操作/解析知識→KNOW。通常区分でTODO"
"職人の価格設定方法",REVO,A,TODO,"『価格設定』＝REVO(単価/料金)。強さ順REVO>AIT→REVO。単価は中核でA。通常区分でTODO"
"現場事務サポ修正指示",JIMU,A,TODO,"『事務サポ』『修正指示』＝JIMU(アプリ開発/修正)。Phase1直結でA。通常区分でTODO"
"ブラッシュアップ提案",KNOW,C,TODO,"対象事業が題名から特定不能→推測を避け既定でKNOW/C。※要手動確認。通常区分でTODO"
"事業進捗管理整理",REVO,A,TODO,"『事業進捗管理』＝経営→REVO。運用に直結でA。通常区分でTODO"
"遊戯王風イラスト変換",KNOW,X,TODO,"趣味イラスト＝娯楽/汎用→KNOW。事業価値なし→破棄候補X。通常区分でTODO"
"Marvel風イラスト変換",KNOW,X,TODO,"趣味イラスト＝娯楽/汎用→KNOW。破棄候補X。通常区分でTODO"
"イラスト変換",KNOW,X,TODO,"汎用/娯楽の画像変換→KNOW。破棄候補X。通常区分でTODO"
"ポケモン風イラスト依頼",KNOW,X,TODO,"趣味イラスト＝娯楽/汎用→KNOW。破棄候補X。通常区分でTODO"
