チャット名,分類,優先度,状態,理由
"JIMU-20260712-案件登録の入力が消える不具合",JIMU,S,DOING,"進行中のバグでデータ消失に直結。実装語＋不具合語でJIMU最優先"
"JIMU-20260712-請求書PDFの金額がずれる",JIMU,S,TODO,"請求・金額に直結する不具合。JIMU/S"
"JIMU-20260711-GitHubブランチ運用とマージ手順",JIMU,A,DONE,"開発運用の基盤。実装語でJIMU、Phase1必須でA、結論済み"
"JIMU-20260710-見積機能の税区分対応",JIMU,A,DONE,"アプリの見積“機能”実装なのでJIMU。実装完了でDONE"
"JIMU-20260709-Vercelデプロイの405エラー調査",JIMU,A,DOING,"開発を止める環境不具合。JIMU/A、調査中"
"JIMU-20260708-材料管理画面のUI改善",JIMU,B,TODO,"機能はあるが改善系。JIMU/B"
"JIMU-20260707-スマホSafariで下書き保持",JIMU,S,DONE,"入力消失防止＝データ消失直結でS。実装済みDONE"
"JIMU-20260706-案件一覧の検索が重い",JIMU,B,HOLD,"改善課題。大量案件対応(Phase4)待ちでHOLD"
"JIMU-20260705-旧見積サンプル画面の撤去検討",JIMU,X,TODO,"方針転換で不要な旧画面。廃止候補X"
"AIT-20260712-クロス貼替の施工手順まとめ",AIT,B,DOING,"施工ノウハウの蓄積。AIT、教材化でB"
"AIT-20260711-現場写真の劣化判定サンプル集め",AIT,B,TODO,"写真の知見・AI教材化目的なのでAIT（台帳機能ではない）"
"AIT-20260710-新人職人向け教育資料の構成",AIT,B,DOING,"職人育成・教育資料。AIT/B"
"AIT-20260709-現場データベースの項目設計",AIT,A,HOLD,"AI棟梁の現場DBの核。基盤設計でA。共通DB移行待ちでHOLD"
"AIT-20260708-歩掛データの集め方メモ",AIT,C,TODO,"単発の調べ物。AIT/C"
"AIT-20260707-施工事例の写真タグ付け構想",AIT,C,HOLD,"アイデア段階。AI棟梁未公開のためHOLD（UI化しない）"
"REVO-20260712-事業計画書v1.0のドラフト",REVO,A,DOING,"経営の中核資料。REVO/A、作成中"
"REVO-20260711-金融公庫への資金調達相談",REVO,S,DOING,"進行中の資金調達で期限直結。REVO/S"
"REVO-20260710-元請開拓の営業トーク整理",REVO,A,TODO,"売上に直結する営業。REVO/A"
"REVO-20260709-工事別の利益率と単価表見直し",REVO,A,DOING,"単価・利益率そのものの検討なのでREVO（見積機能ではない）"
"REVO-20260708-火災保険の保険修繕フロー",REVO,A,TODO,"保険修繕の業務設計。REVO/A"
"REVO-20260707-資金繰り表の作り方",REVO,B,DONE,"経営管理の改善。REVO/B、作成済み"
"REVO-20260706-古い料金表v0の破棄",REVO,X,DONE,"旧料金表で不要。廃止候補X、処理済みDONE"
"JIMU-20260705-保険案件画面の実装相談",JIMU,B,TODO,"保険でも実装語が主なのでJIMUへ（強さ順：JIMU＞REVO）"
"REVO-20260704-AIに単価を提案させる構想メモ",REVO,C,HOLD,"単価=REVO寄り。AI棟梁は未公開のため実装化せずHOLD"
"JIMU-20260703-タイトル不明の雑多な調べ物",JIMU,C,TODO,"判定材料が乏しい単発。既定でJIMU/C/TODO（後で再分類）"
